Column,Min,25th Percentile,Median,75th Percentile,Max,Mean
0,1.4E-05,9.0E-01,9.9E-01,1.0E+00,1.0E+00,8.6E-01
1,6.7E-02,6.2E-01,8.2E-01,8.8E-01,9.0E-01,7.1E-01
2,8.7E-03,7.1E-01,8.1E-01,8.7E-01,9.8E-01,7.5E-01
3,8.9E-03,6.4E-01,8.4E-01,9.3E-01,1.0E+00,7.6E-01
4,3.2E-02,6.2E-01,7.7E-01,8.5E-01,9.3E-01,7.0E-01
5,1.8E-12,5.9E-01,9.9E-01,1.0E+00,1.0E+00,7.5E-01
